name	compile_ok	run_ok	php_exit	aot_exit	output_match	status	alloc_stats	expected	actual
01_if_else	0	0	0	-	0	AOT_COMPILE_FAIL	-	large
small	-
02_while	0	0	0	-	0	AOT_COMPILE_FAIL	-	10	-
03_for	0	0	0	-	0	AOT_COMPILE_FAIL	-	45	-
04_foreach	0	0	0	-	0	AOT_COMPILE_FAIL	-	15	-
05_foreach_break	0	0	0	-	0	AOT_COMPILE_FAIL	-	6	-
06_array_ops	0	0	0	-	0	AOT_COMPILE_FAIL	-	3	-
07_string_concat	0	0	0	-	0	AOT_COMPILE_FAIL	-	Hello World	-
08_nested_loop	0	0	0	-	0	AOT_COMPILE_FAIL	-	9	-
09_function_call	0	0	0	-	0	AOT_COMPILE_FAIL	-	30	-
10_recursion	0	0	0	-	0	AOT_COMPILE_FAIL	-	120	-
11_continue	0	0	0	-	0	AOT_COMPILE_FAIL	-	25	-
12_assoc_array	0	0	0	-	0	AOT_COMPILE_FAIL	-	2	-
13_ternary	0	0	0	-	0	AOT_COMPILE_FAIL	-	big
small	-
14_logical	0	0	0	-	0	AOT_COMPILE_FAIL	-	both
one
one	-
15_string_funcs	0	0	0	-	0	AOT_COMPILE_FAIL	-	11	-
16_array_funcs	0	0	0	-	0	AOT_COMPILE_FAIL	-	14	-
17_multi_params	0	0	0	-	0	AOT_COMPILE_FAIL	-	60	-
18_scope	0	0	0	-	0	AOT_COMPILE_FAIL	-	50	-
19_comparison	0	0	0	-	0	AOT_COMPILE_FAIL	-	equal
not_equal	-
20_null	0	0	0	-	0	AOT_COMPILE_FAIL	-	is_null	-
21_nested_foreach	0	0	0	-	0	AOT_COMPILE_FAIL	-	180	-
22_foreach_kv	0	0	0	-	0	AOT_COMPILE_FAIL	-	a1b2c3	-
23_complex_condition	0	0	0	-	0	AOT_COMPILE_FAIL	-	match
match
no_match	-
24_nested_break	0	0	0	-	0	AOT_COMPILE_FAIL	-	45	-
25_array_modify	0	0	0	-	0	AOT_COMPILE_FAIL	-	11	-
26_string_interpolation	0	0	0	-	0	AOT_COMPILE_FAIL	-	Hello World, number is 42	-
27_fibonacci	0	0	0	-	0	AOT_COMPILE_FAIL	-	55	-
28_function_chain	0	0	0	-	0	AOT_COMPILE_FAIL	-	30	-
29_switch	0	0	0	-	0	AOT_COMPILE_FAIL	-	two
other	-
30_complex_array	0	0	0	-	0	AOT_COMPILE_FAIL	-	20	-
31_do_while	0	0	0	-	0	AOT_COMPILE_FAIL	-	15	-
32_negative	0	0	0	-	0	AOT_COMPILE_FAIL	-	5	-
33_float	0	0	0	-	0	AOT_COMPILE_FAIL	-	6.28	-
34_bool	0	0	0	-	0	AOT_COMPILE_FAIL	-	yes	-
35_increment	0	0	0	-	0	AOT_COMPILE_FAIL	-	12	-
36_match	0	0	0	-	0	AOT_COMPILE_FAIL	-	two
other	-
37_elseif	0	0	0	-	0	AOT_COMPILE_FAIL	-	negative
zero
small
large	-
38_string_compare	0	0	0	-	0	AOT_COMPILE_FAIL	-	pass	-
39_empty_array	0	0	0	-	0	AOT_COMPILE_FAIL	-	0	-
40_array_push	0	0	0	-	0	AOT_COMPILE_FAIL	-	5	-
41_nested_break_levels	0	0	0	-	0	AOT_COMPILE_FAIL	-	000 001 010 100 101 110 200 201 210 	-
42_nested_continue_levels	0	0	0	-	0	AOT_COMPILE_FAIL	-	000 001 002 020 021 022 100 120 200 201 202 220 221 222 	-
43_mixed_control_flow	0	0	0	-	0	AOT_COMPILE_FAIL	-	1w0 1w1 2f0 2f1 3d 	-
44_do_while_nested	0	0	0	-	0	AOT_COMPILE_FAIL	-	00 01 10 11 	-
45_match_in_loop	0	0	0	-	0	AOT_COMPILE_FAIL	-	abc	-
46_complex_nesting	0	0	0	-	0	AOT_COMPILE_FAIL	-	X 002 011 012 101 102 X 112 	-
47_deep_nesting	0	0	0	-	0	AOT_COMPILE_FAIL	-	00000 00001 00010 00100 01000 01001 01010 01100 10000 10001 10010 10100 11000 11001 11010 11100 	-
48_nested_function_calls	0	0	0	-	0	AOT_COMPILE_FAIL	-	N0:0 [0-0] N1:0 [1-0] 	-
49_recursive_with_loops	0	0	0	-	0	AOT_COMPILE_FAIL	-	0:00 1:00 2:00 [3]2:10 [3]1:10 2:00 [3]2:10 [3]0:10 1:00 2:00 [3]2:10 [3]1:10 2:00 [3]2:10 [3]	-
50_mixed_break_continue	0	0	0	-	0	AOT_COMPILE_FAIL	-	0000 0001 0002 0010 0020 0021 0022 0100 1000 1001 1002 1010 1020 1021 1022 1100 2000 2001 2002 2010 2020 2021 2022 2100 	-
51_unset_iter_consistency	0	0	0	-	0	AOT_COMPILE_FAIL	-	UnsetIter: 2,6 (expect 2,6)	-
52_foreach_by_ref	0	0	0	-	0	AOT_COMPILE_FAIL	-	ForeachRef: 36 (expect 36)	-
53_try_finally_unset	0	0	0	-	0	AOT_COMPILE_FAIL	-	TryFinally: 11,3,7 (expect 11,3,7)	-
54_recursive_with_loop	0	0	0	-	0	AOT_COMPILE_FAIL	-	RecLoop: 10 (expect 10)	-
55_mixed_keys_and_unset	0	0	0	-	0	AOT_COMPILE_FAIL	-	MixKeyUnset: 2,5 (expect 2,5)	-
56_deep_control_flow	0	0	0	-	0	AOT_COMPILE_FAIL	-	DeepCF: 9 (expect 9)	-
